(7352, 8, -26, -27, -23, -33, -17, -17, -11, 127, -8, -16, -14, -30, 16)
(7355, 11, -13, -18, -15, -23, -30, -26, -22, -16, -12, -8, 127, -9, 16)
(9206, 2, -9, 127, -11, -15, -15, -28, -24, -22, -17, -22, -20, -15, 11)
(9207, 3, -19, -11, 127, -15, -15, -19, -28, -24, -28, -24, -25, -25, 11)
(9208, 4, -15, -13, -7, 127, -11, -13, -22, -23, -24, -24, -19, -20, 11)
(9209, 5, -28, -17, -15, -12, 127, -13, -21, -24, -21, -27, -35, -28, 11)
(9210, 6, -24, -22, -19, -18, -11, 127, -12, -14, -21, -24, -23, -26, 11)
(9211, 7, -24, -26, -21, -27, -16, -10, 127, -14, -16, -21, -28, -21, 11)
(9212, 8, -32, -24, -30, -24, -19, -13, -10, 127, -12, -19, -17, -24, 11)
(9213, 9, -17, -21, -21, -21, -25, -17, -16, -7, 127, -14, -15, -30, 11)
(9214, 10, -30, -16, -21, -25, -20, -22, -19, -17, -13, 127, -11, -19, 11)
(9215, 11, -9, -15, -17, -24, -27, -18, -21, -12, -20, -10, 127, -12, 11)
(9216, 12, -15, -17, -23, -21, -20, -24, -30, -30, -17, -23, -13, 127, 11)
(9217, 1, 127, -11, -18, -18, -27, -25, -25, -33, -17, -31, -12, -13, 16)
(9218, 2, -6, 127, -7, -13, -14, -21, -25, -22, -19, -15, -16, -14, 16)
(9219, 3, -34, -12, 127, -10, -15, -20, -24, -33, -24, -23, -21, -23, 16)
(9220, 4, -17, -15, -5, 127, -9, -16, -25, -22, -19, -23, -25, -18, 16)
(9221, 5, -26, -19, -14, -13, 127, -13, -18, -19, -27, -21, -30, -19, 16)
(9222, 6, -30, -34, -16, -19, -13, 127, -11, -13, -17, -22, -21, -23, 16)
(9223, 7, -24, -23, -21, -25, -19, -11, 127, -10, -16, -19, -23, -28, 16)
(9224, 8, -28, -26, -23, -33, -17, -16, -11, 127, -8, -16, -14, -28, 16)
(9225, 9, -21, -25, -27, -30, -21, -19, -17, -7, 127, -13, -22, -15, 16)
(9226, 10, -21, -22, -19, -26, -30, -31, -18, -15, -13, 127, -13, -21, 16)
(9227, 11, -13, -19, -15, -23, -29, -26, -23, -15, -12, -8, 127, -9, 16)
(9228, 12, -16, -18, -28, -40, -26, -25, -25, -23, -17, -15, -9, 127, 16)
(9229, 1, 127, -7, -33, -19, -25, -30, -26, -28, -22, -22, -16, -15, 21)
(9230, 2, -8, 127, -9, -15, -16, -32, -22, -24, -23, -21, -19, -15, 21)
(9231, 3, -25, -11, 127, -8, -15, -18, -23, -25, -28, -21, -19, -28, 21)
(9232, 4, -24, -14, -8, 127, -11, -17, -24, -30, -28, -24, -23, -36, 21)
(9233, 5, -24, -16, -15, -14, 127, -13, -19, -18, -22, -31, -32, -25, 21)
(9234, 6, -23, -38, -18, -24, -11, 127, -11, -17, -19, -31, -28, -24, 21)
(9235, 7, -27, -31, -29, -23, -21, -12, 127, -10, -16, -17, -25, -23, 21)
(9236, 8, -20, -24, -24, -20, -24, -16, -13, 127, -8, -15, -18, -21, 21)
(9237, 9, -20, -16, -23, -28, -19, -28, -18, -10, 127, -13, -14, -15, 21)
(9238, 10, -21, -35, -21, -30, -22, -21, -21, -19, -12, 127, -10, -14, 21)
(9239, 11, -11, -19, -20, -20, -35, -20, -21, -17, -13, -7, 127, -6, 21)
(9240, 12, -13, -16, -28, -23, -25, -21, -26, -22, -20, -17, -11, 127, 21)
(9241, 1, 127, -9, -24, -27, -24, -23, -27, -21, -21, -22, -13, -12, 26)
(9242, 2, -12, 127, -8, -15, -15, -37, -30, -22, -15, -34, -20, -13, 26)
(9243, 3, -29, -13, 127, -11, -17, -19, -31, -26, -25, -22, -25, -28, 26)
(9244, 4, -19, -14, -11, 127, -12, -22, -21, -19, -26, -27, -21, -19, 26)
(9245, 5, -25, -16, -13, -14, 127, -12, -22, -25, -19, -22, -38, -25, 26)
(9246, 6, -34, -28, -17, -16, -13, 127, -12, -16, -28, -21, -23, -20, 26)
(9247, 7, -23, -24, -25, -24, -20, -11, 127, -13, -18, -20, -24, -24, 26)
(9248, 8, -19, -23, -22, -25, -23, -14, -14, 127, -10, -19, -19, -21, 26)
(9249, 9, -24, -18, -25, -26, -21, -20, -16, -11, 127, -11, -14, -19, 26)
(9250, 10, -18, -23, -22, -27, -26, -25, -22, -19, -14, 127, -10, -16, 26)
(9251, 11, -14, -19, -21, -19, -32, -20, -25, -15, -13, -9, 127, -8, 26)
(9252, 12, -9, -17, -24, -23, -28, -27, -23, -25, -31, -19, -15, 127, 26)
(9253, 1, 127, -13, -28, -22, -25, -35, -23, -20, -24, -18, -17, -8, 11)
(9254, 2, -9, 127, -11, -15, -15, -28, -23, -22, -17, -22, -20, -15, 11)
(9255, 3, -19, -11, 127, -15, -15, -19, -28, -25, -28, -24, -25, -26, 11)
(9256, 4, -15, -13, -7, 127, -11, -13, -22, -23, -24, -24, -19, -20, 11)
(9257, 5, -28, -17, -15, -12, 127, -13, -21, -24, -21, -27, -36, -28, 11)
