(33236, 1, 127, -77, -78, -67, 21)
(33244, 1, 127, -74, -77, -64, 11)
(37216, 1, 127, -72, -76, -67, 21)
(37222, 3, -71, -74, 127, -69, 26)
(37223, 4, -57, -77, -73, 127, 26)
(37224, 1, 127, -73, -75, -64, 11)
(37225, 2, -68, 127, -78, -72, 11)
(37226, 3, -67, -78, 127, -69, 11)
(37228, 1, 127, -74, -74, -67, 16)
(37229, 2, -69, 127, -73, -63, 16)
(37230, 3, -71, -79, 127, -61, 16)
(37231, 4, -55, -72, -66, 127, 16)
(37232, 1, 127, -72, -76, -67, 21)
(37234, 3, -71, -79, 127, -66, 21)
(37235, 4, -56, -73, -66, 127, 21)
(37236, 1, 127, -70, -75, -64, 26)
(37238, 3, -71, -74, 127, -69, 26)
(37239, 4, -58, -77, -73, 127, 26)
(37240, 1, 127, -72, -76, -64, 11)
(37241, 2, -67, 127, -79, -72, 11)
(37242, 3, -67, -79, 127, -69, 11)
(37243, 4, -57, -64, -66, 127, 11)
(37244, 1, 127, -74, -74, -66, 16)
(37246, 3, -72, -79, 127, -61, 16)
(37247, 4, -55, -72, -65, 127, 16)
(37248, 1, 127, -72, -76, -67, 21)
(37250, 3, -71, -80, 127, -66, 21)
(37251, 4, -56, -73, -66, 127, 21)
(37252, 1, 127, -70, -75, -64, 26)
(37254, 3, -71, -74, 127, -69, 26)
(37255, 4, -58, -77, -73, 127, 26)
(37256, 1, 127, -72, -75, -64, 11)
(37257, 2, -68, 127, -78, -72, 11)
(37258, 3, -67, -79, 127, -69, 11)
(37259, 4, -57, -64, -66, 127, 11)
(37260, 1, 127, -74, -74, -66, 16)
(37262, 3, -71, -79, 127, -61, 16)
(37263, 4, -55, -72, -65, 127, 16)
(37264, 1, 127, -72, -76, -67, 21)
(37266, 3, -71, -80, 127, -66, 21)
(37267, 4, -56, -73, -66, 127, 21)
(37268, 1, 127, -70, -75, -64, 26)
(37270, 3, -71, -74, 127, -69, 26)
(37271, 4, -58, -77, -73, 127, 26)
(37272, 1, 127, -72, -75, -64, 11)
(37273, 2, -68, 127, -78, -72, 11)
(37274, 3, -67, -79, 127, -69, 11)
(37275, 4, -57, -64, -66, 127, 11)
(37276, 1, 127, -74, -74, -66, 16)
(37277, 2, -69, 127, -74, -63, 16)
(37278, 3, -72, -79, 127, -61, 16)
(37279, 4, -55, -72, -66, 127, 16)
(37280, 1, 127, -72, -76, -67, 21)
(37282, 3, -71, -79, 127, -66, 21)
(37283, 4, -56, -73, -66, 127, 21)
(37284, 1, 127, -70, -76, -64, 26)
(37286, 3, -71, -74, 127, -69, 26)
(37287, 4, -58, -77, -73, 127, 26)
(37288, 1, 127, -72, -75, -65, 11)
(37289, 2, -68, 127, -78, -72, 11)
(37290, 3, -67, -79, 127, -69, 11)
(37291, 4, -57, -64, -66, 127, 11)
(37292, 1, 127, -74, -74, -66, 16)
(37293, 2, -69, 127, -74, -63, 16)
(37294, 3, -72, -79, 127, -61, 16)
(37295, 4, -55, -72, -66, 127, 16)
(37296, 1, 127, -72, -75, -67, 21)
(37298, 3, -71, -79, 127, -66, 21)
(37299, 4, -56, -73, -66, 127, 21)
(37300, 1, 127, -70, -75, -64, 26)
(37302, 3, -71, -73, 127, -69, 26)
(37303, 4, -57, -77, -74, 127, 26)
(37304, 1, 127, -72, -75, -64, 11)
(37305, 2, -67, 127, -78, -72, 11)
(37306, 3, -67, -80, 127, -69, 11)
(37307, 4, -57, -65, -66, 127, 11)
(37308, 1, 127, -74, -74, -67, 16)
(37310, 3, -72, -80, 127, -61, 16)
(37311, 4, -55, -72, -66, 127, 16)
(37312, 1, 127, -72, -75, -67, 21)
(37313, 2, -72, 127, -72, -66, 21)
(37314, 3, -72, -79, 127, -66, 21)
(37315, 4, -56, -73, -66, 127, 21)
(37316, 1, 127, -70, -75, -64, 26)
(37318, 3, -71, -74, 127, -69, 26)
(37319, 4, -58, -78, -74, 127, 26)
(37320, 1, 127, -72, -75, -64, 11)
(37321, 2, -68, 127, -77, -72, 11)
(37322, 3, -67, -80, 127, -69, 11)
(37323, 4, -57, -64, -66, 127, 11)
(37324, 1, 127, -74, -74, -66, 16)
(37325, 2, -69, 127, -75, -63, 16)
(37326, 3, -72, -80, 127, -61, 16)
(37327, 4, -55, -72, -66, 127, 16)
(37328, 1, 127, -73, -75, -67, 21)
(37330, 3, -72, -79, 127, -65, 21)
(37331, 4, -56, -73, -66, 127, 21)
(37332, 1, 127, -70, -75, -64, 26)
(37334, 3, -71, -73, 127, -68, 26)
(37335, 4, -57, -77, -74, 127, 26)
(37336, 1, 127, -72, -75, -64, 11)
(37337, 2, -67, 127, -77, -72, 11)
(37338, 3, -67, -80, 127, -68, 11)
(37339, 4, -57, -65, -66, 127, 11)
(37340, 1, 127, -74, -74, -66, 16)
(37342, 3, -72, -79, 127, -61, 16)
(37343, 4, -55, -72, -66, 127, 16)
(37344, 1, 127, -72, -75, -67, 21)
(37346, 3, -71, -79, 127, -65, 21)
(37347, 4, -56, -73, -67, 127, 21)
(37348, 1, 127, -70, -75, -64, 26)
(37350, 3, -71, -73, 127, -68, 26)
(37351, 4, -57, -77, -74, 127, 26)
(37352, 1, 127, -72, -75, -64, 11)
(37353, 2, -67, 127, -77, -72, 11)
(37354, 3, -67, -80, 127, -68, 11)
(37355, 4, -57, -65, -67, 127, 11)
(37356, 1, 127, -74, -74, -66, 16)
(37358, 3, -72, -80, 127, -61, 16)
(37359, 4, -55, -72, -66, 127, 16)
(37360, 1, 127, -72, -75, -67, 21)
(37361, 2, -72, 127, -72, -65, 21)
(37362, 3, -72, -79, 127, -65, 21)
(37363, 4, -56, -73, -66, 127, 21)
(37364, 1, 127, -70, -75, -64, 26)
(37366, 3, -71, -73, 127, -68, 26)
(37367, 4, -58, -78, -74, 127, 26)
(37368, 1, 127, -72, -75, -63, 11)
(37369, 2, -67, 127, -76, -72, 11)
(37370, 3, -67, -81, 127, -67, 11)
(37371, 4, -57, -65, -66, 127, 11)
(37372, 1, 127, -74, -74, -66, 16)
(37373, 2, -69, 127, -75, -63, 16)
(37374, 3, -72, -80, 127, -61, 16)
(37375, 4, -55, -72, -66, 127, 16)
(37376, 1, 127, -72, -75, -67, 21)
(37378, 3, -72, -79, 127, -65, 21)
(37379, 4, -56, -73, -66, 127, 21)
(37380, 1, 127, -70, -75, -64, 26)
(37382, 3, -71, -74, 127, -68, 26)
(37383, 4, -57, -78, -74, 127, 26)
(37384, 1, 127, -72, -75, -64, 11)
(37385, 2, -67, 127, -76, -72, 11)
(37386, 3, -67, -81, 127, -68, 11)
(37387, 4, -57, -64, -66, 127, 11)
(37388, 1, 127, -74, -74, -66, 16)
(37389, 2, -69, 127, -75, -63, 16)
(37390, 3, -72, -80, 127, -61, 16)
(37391, 4, -55, -72, -66, 127, 16)
(37392, 1, 127, -72, -75, -67, 21)
(37393, 2, -72, 127, -72, -66, 21)
(37394, 3, -72, -79, 127, -65, 21)
(37395, 4, -56, -74, -67, 127, 21)
(37396, 1, 127, -70, -75, -64, 26)
(37397, 2, -77, 127, -75, -69, 26)
(37398, 3, -71, -74, 127, -68, 26)
(37399, 4, -57, -78, -74, 127, 26)
(37400, 1, 127, -72, -75, -63, 11)
(37401, 2, -68, 127, -76, -72, 11)
(37402, 3, -67, -81, 127, -67, 11)
