40022, 3, -22, -18, 127, -17, -19, -24, -28, -24, 16
9456, 5, -31, -22, -18, -16, 127, -17, -24, -26, 11
9457, 6, -26, -26, -21, -19, -11, 127, -17, -18, 11
9458, 7, -21, -18, -22, -22, -21, -15, 127, -14, 11
9459, 8, -13, -19, -22, -22, -18, -18, -16, 127, 11
9460, 1, 127, -19, -21, -28, -31, -27, -21, -13, 16
9461, 2, -18, 127, -13, -14, -19, -24, -17, -18, 16
9462, 3, -24, -15, 127, -16, -19, -23, -25, -24, 16
9463, 4, -21, -19, -13, 127, -13, -17, -20, -20, 16
9464, 5, -40, -20, -27, -17, 127, -12, -23, -19, 16
9465, 6, -24, -21, -24, -18, -14, 127, -15, -18, 16
9466, 7, -19, -22, -24, -19, -25, -15, 127, -15, 16
9467, 8, -15, -39, -23, -28, -25, -19, -14, 127, 16
9468, 1, 127, -19, -23, -24, -40, -25, -20, -15, 21
9469, 2, -17, 127, -12, -19, -18, -19, -21, -37, 21
9470, 3, -21, -16, 127, -16, -28, -26, -26, -24, 21
9471, 4, -21, -21, -12, 127, -13, -16, -17, -26, 21
9472, 5, -31, -21, -24, -15, 127, -15, -27, -27, 21
9473, 6, -45, -19, -28, -22, -14, 127, -15, -19, 21
9474, 7, -18, -24, -29, -22, -19, -19, 127, -14, 21
9475, 8, -16, -31, -24, -22, -26, -18, -15, 127, 21
9476, 1, 127, -19, -19, -24, -30, -44, -18, -17, 26
9477, 2, -19, 127, -13, -22, -19, -17, -23, -30, 26
9478, 3, -23, -19, 127, -16, -25, -30, -32, -26, 26
9479, 4, -19, -15, -13, 127, -12, -20, -21, -20, 26
9480, 5, -34, -23, -24, -15, 127, -15, -21, -27, 26
9481, 6, -32, -28, -23, -21, -16, 127, -20, -19, 26
9482, 7, -22, -33, -26, -31, -24, -16, 127, -15, 26
9483, 8, -16, -26, -28, -26, -25, -18, -14, 127, 26
9484, 1, 127, -20, -21, -21, -34, -33, -23, -17, 11
9485, 2, -18, 127, -16, -17, -21, -27, -32, -26, 11
