(42075, 3, -24, -14, 127, -13, -17, -19, -34, -22, -27, -30, -40, -31, 26)
(42078, 6, -23, -24, -17, -16, -13, 127, -12, -15, -21, -24, -23, -30, 26)
(20713, 5, -24, -19, -18, -12, 127, -16, -29, -22, -28, -30, -27, -23, 11)
(20714, 6, -24, -39, -20, -21, -14, 127, -11, -13, -21, -22, -21, -35, 11)
(20715, 7, -29, -19, -22, -23, -19, -11, 127, -14, -16, -18, -28, -25, 11)
(20716, 8, -25, -19, -23, -27, -20, -13, -10, 127, -12, -19, -18, -21, 11)
(20717, 9, -15, -19, -21, -24, -23, -15, -16, -8, 127, -15, -16, -24, 11)
(20718, 10, -30, -21, -27, -23, -24, -28, -18, -15, -11, 127, -11, -19, 11)
(20719, 11, -10, -14, -16, -19, -19, -17, -25, -13, -15, -9, 127, -13, 11)
(20720, 12, -13, -18, -21, -23, -21, -25, -22, -27, -20, -21, -13, 127, 11)
(20721, 1, 127, -11, -18, -19, -23, -24, -30, -26, -16, -30, -13, -13, 16)
(20722, 2, -6, 127, -7, -15, -16, -36, -19, -18, -18, -19, -15, -15, 16)
(20723, 3, -25, -12, 127, -10, -19, -22, -24, -25, -23, -28, -20, -22, 16)
(20724, 4, -18, -17, -7, 127, -9, -19, -21, -25, -22, -21, -20, -19, 16)
(20725, 5, -27, -22, -16, -13, 127, -15, -19, -21, -24, -24, -22, -20, 16)
(20726, 6, -24, -31, -19, -24, -15, 127, -11, -13, -15, -28, -19, -23, 16)
(20727, 7, -28, -24, -25, -27, -21, -9, 127, -9, -16, -18, -27, -20, 16)
(20728, 8, -22, -36, -24, -27, -18, -17, -11, 127, -8, -15, -15, -26, 16)
(20729, 9, -22, -19, -22, -36, -27, -17, -19, -8, 127, -11, -17, -19, 16)
(20730, 10, -23, -30, -21, -22, -26, -23, -18, -15, -12, 127, -12, -20, 16)
(20731, 11, -15, -21, -15, -26, -22, -31, -34, -16, -13, -9, 127, -10, 16)
(20732, 12, -16, -16, -28, -35, -27, -29, -24, -24, -18, -16, -11, 127, 16)
(20733, 1, 127, -7, -24, -20, -27, -25, -28, -23, -23, -23, -18, -15, 21)
(20734, 2, -9, 127, -9, -17, -19, -29, -23, -35, -19, -28, -23, -13, 21)
(20735, 3, -21, -11, 127, -9, -17, -21, -28, -26, -24, -22, -19, -28, 21)
(20736, 4, -20, -15, -9, 127, -9, -21, -25, -25, -34, -19, -26, -31, 21)
(20737, 5, -24, -18, -16, -14, 127, -15, -23, -19, -28, -27, -26, -27, 21)
(20738, 6, -20, -30, -24, -29, -14, 127, -9, -17, -18, -23, -34, -28, 21)
(20739, 7, -24, -23, -27, -26, -23, -10, 127, -10, -18, -17, -36, -22, 21)
(20740, 8, -20, -26, -19, -24, -21, -13, -12, 127, -9, -15, -19, -23, 21)
(20741, 9, -20, -16, -27, -25, -19, -21, -20, -9, 127, -12, -16, -16, 21)
(20742, 10, -19, -26, -20, -25, -30, -25, -19, -20, -12, 127, -12, -15, 21)
(20743, 11, -13, -18, -18, -23, -25, -19, -23, -15, -13, -9, 127, -7, 21)
(20744, 12, -14, -18, -25, -22, -19, -22, -23, -23, -25, -17, -12, 127, 21)
(20745, 1, 127, -11, -20, -23, -24, -20, -26, -21, -21, -20, -15, -13, 26)
(20746, 2, -12, 127, -8, -16, -16, -28, -22, -25, -15, -24, -19, -15, 26)
(20747, 3, -28, -15, 127, -13, -18, -25, -28, -21, -28, -22, -22, -26, 26)
(20748, 4, -16, -15, -12, 127, -12, -27, -24, -21, -23, -22, -23, -19, 26)
(20749, 5, -32, -18, -14, -13, 127, -15, -24, -21, -20, -30, -29, -19, 26)
(20750, 6, -26, -24, -21, -18, -15, 127, -11, -13, -22, -26, -22, -21, 26)
(20751, 7, -27, -22, -24, -36, -28, -11, 127, -12, -20, -19, -25, -21, 26)
(20752, 8, -21, -23, -18, -34, -21, -13, -14, 127, -9, -20, -18, -21, 26)
(20753, 9, -26, -19, -24, -25, -27, -21, -16, -12, 127, -11, -15, -24, 26)
(20754, 10, -16, -26, -23, -22, -29, -22, -19, -19, -16, 127, -12, -15, 26)
(20755, 11, -17, -16, -25, -27, -24, -19, -27, -16, -14, -9, 127, -8, 26)
(20756, 12, -10, -17, -21, -26, -24, -36, -26, -23, -26, -19, -16, 127, 26)
(20757, 1, 127, -13, -26, -19, -32, -27, -27, -21, -26, -17, -19, -9, 11)
(20758, 2, -9, 127, -12, -16, -17, -23, -22, -23, -19, -25, -18, -15, 11)
