Xstep "Node 1, channel 11" "Node 1, channel 16" "Node 1, channel 21" "Node 1, channel 26" "Node 2, channel 11" "Node 2, channel 16" "Node 2, channel 21" "Node 2, channel 26"
"12 cm" -13.493464052288 -13.995642701525 -15.49263502455 -11.986928104575 -12.983660130719 -14.704595185996 -13.28078817734 -12.967320261438
"24 cm" -17.554479418886 -16.170909090909 -14.782608695652 -16.836956521739 -13.682808716707 -13.271402550091 -15.891304347826 -16.007246376812
"36 cm" -14.698701298701 -15.267056530214 -13 -13.552529182879 -13.814621409922 -13.091976516634 -12 -13.317647058824
"48 cm" -17.247544204322 -14.796875 -17.937254901961 -17.293193717277 -14.817288801572 -19 -16.011764705882 -15.675392670157
"60 cm" -19.287234042553 -17.99001996008 -19 -19.430278884462 -15.375 -15.818363273453 -17.896825396825 -17.02390438247
"63 cm" -21.533707865169 -19.5 -22.374064837905 -20.611940298507 -19.21200750469 -21.25468164794 -20.4 -16.328358208955
"66 cm" -22.245901639344 -21.863387978142 -22.722792607803 -23.581967213115 -18.639344262295 -20.082191780822 -20.29012345679 -18.893442622951
"69 cm" -25.925449871465 -26.428571428571 -27.438461538462 -29.311538461538 -24.131021194605 -24.976923076923 -26.996153846154 -23.75641025641
"72 cm" -20.449612403101 -24.519379844961 -25.221359223301 -21.953488372093 -24.007751937984 -24.250645994832 -23.145631067961 -16.84496124031
"92 cm" -18 -18.519230769231 -18.346153846154 -17.514450867052 -16.969230769231 -15.984615384615 -14.989743589744 -14.994219653179
